|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Lance Stroll  STR  Aston Martin|0|0|1|58%|$9.1m|$9.5m|1.33|2022-09-09 21:46:53
1|George Russell  RUS  Mercedes|0|0|0|46%|$23.8m|$24.0m|1.27|2022-09-09 21:46:53
2|Alex Albon  ALB  Williams|0|0|0|39%|$7.7m|$7.5m|1.13|2022-09-09 21:46:53
3|Mick Schumacher  SCH  Haas|0|0|0|35%|$6.3m|$6.5m|0.93|2022-09-09 21:46:53
4|Esteban Ocon  OCO  Alpine|0|0|0|21%|$12.3m|$12.0m|1.26|2022-09-09 21:46:53
5|Lando Norris  NOR  Mclaren|0|0|0|11%|$15.9m|$16.0m|1.05|2022-09-09 21:46:53
6|Fernando Alonso  ALO  Alpine|0|0|0|9%|$12.7m|$12.5m|1.14|2022-09-09 21:46:53
7|Guanyu Zhou  ZHO  Alfa Romeo|0|0|0|2%|$8.1m|$8.0m|0.55|2022-09-09 21:46:53
8|Sergio Perez  PER  Red Bull|0|0|0|0%|$17.9m|$17.5m|1.47|2022-09-09 21:46:53
9|SAI  Carlos Sainz  Ferrari|0|0|0|-8%|$17.2m|$17.0m|1.36|2022-09-09 21:46:53
10|Max Verstappen  VER  Red Bull|0|0|0|-12%|$30.4m|$30.5m|1.35|2022-09-09 21:46:53
11|Nicholas Latifi  LAT  Williams|0|0|0|-12%|$6.9m|$7.0m|0.72|2022-09-09 21:46:53
12|Kevin Magnussen  MAG  Haas|0|0|0|-14%|$6.1m|$5.5m|1.14|2022-09-09 21:46:53
13|Sebastian Vettel  VET  Aston Martin|0|0|0|-23%|$11.8m|$11.5m|1.03|2022-09-09 21:46:53
14|Charles Leclerc  LEC  Ferrari|0|0|0|-24%|$18.7m|$18.0m|1.52|2022-09-09 21:46:53
15|Lewis Hamilton  HAM  Mercedes|0|0|0|-31%|$30.6m|$31.0m|0.85|2022-09-09 21:46:53
16|Valtteri Bottas  BOT  Alfa Romeo|0|0|0|-42%|$9.5m|$9.0m|1.16|2022-09-09 21:46:53
17|Yuki Tsunoda  TSU  AlphaTauri|0|0|0|-47%|$8.4m|$8.5m|0.41|2022-09-09 21:46:53
18|Pierre Gasly  GAS  AlphaTauri|0|0|0|-52%|$13.0m|$13.5m|0.76|2022-09-09 21:46:53
19|Daniel Ricciardo  RIC  Mclaren|0|0|0|-82%|$14.2m|$14.5m|0.42|2022-09-09 21:46:53
